"id_student","code_module","code_presentation","Assessment_score","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result","Total_clicks","date_registration"
100064,"FFF","2013J",1072,"F","West Midlands Region","A Level or Equivalent","0-10%","35-55",0,60,"N","Pass",6514,-136
100561,"DDD","2014J",470,"M","East Anglian Region","Lower Than A Level","70-80%","0-35",1,60,"N","Fail",950,-35
1006742,"FFF","2014B",157,"M","Scotland","HE Qualification","80-90%","55>=",1,120,"N","Fail",2421,-78
100788,"CCC","2014J",1519,"M","Scotland","HE Qualification","80-90%","0-35",1,60,"N","Pass",4395,-103
100788,"FFF","2013J",1519,"M","Scotland","HE Qualification","80-90%","0-35",0,90,"N","Pass",4395,-82
1008675,"BBB","2013B",846,"F","East Anglian Region","Lower Than A Level","90-100%","35-55",0,60,"N","Pass",1913,-48
100893,"AAA","2013J",342,"M","Yorkshire Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass",744,-62
101116,"AAA","2014J",413,"F","East Anglian Region","Lower Than A Level","60-70%","35-55",0,60,"N","Pass",1769,-80
101217,"FFF","2014J",82,"M","London Region","A Level or Equivalent","40-50%","35-55",2,60,"Y","Fail",717,-44
101306,"FFF","2013B",98,"M","London Region","A Level or Equivalent","20-30%","35-55",0,120,"N","Fail",866,-148
101420,"FFF","2013J",1084,"M","Yorkshire Region","Lower Than A Level","30-40%","0-35",0,120,"N","Pass",5766,-132
1017773,"FFF","2014B",80,"M","West Midlands Region","Lower Than A Level","70-80%","35-55",0,60,"N","Fail",145,-25
102028,"FFF","2013J",1083,"M","South Region","A Level or Equivalent","90-100%","35-55",1,60,"N","Pass",4382,-122
1021350,"FFF","2014J",184,"M","London Region","Lower Than A Level","10-20","55>=",0,90,"N","Fail",701,-128
102221,"DDD","2014J",528,"F","Scotland","HE Qualification","50-60%","35-55",0,60,"N","Pass",1025,-58
102343,"FFF","2013J",951,"M","East Anglian Region","A Level or Equivalent","60-70%","0-35",0,60,"N","Pass",3825,-66
102806,"AAA","2013J",390,"M","North Western Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Pass",1944,-107
102850,"DDD","2013J",552,"F","South West Region","A Level or Equivalent","70-80%","35-55",0,165,"N","Pass",1749,-39
102854,"FFF","2014J",1073,"M","South East Region","Lower Than A Level","40-50%","0-35",0,60,"N","Pass",4400,-116
102952,"AAA","2013J",383,"M","London Region","HE Qualification","60-70%","0-35",0,60,"N","Pass",1150,-100
1031884,"CCC","2014J",1483,"M","East Midlands Region","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass",2801,-30
1031884,"DDD","2014B",1483,"M","East Midlands Region","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass",2801,-22
1034674,"FFF","2013B",1067,"M","South East Region","A Level or Equivalent","60-70%","35-55",0,60,"N","Pass",6543,-48
1035023,"AAA","2013J",350,"F","London Region","Lower Than A Level","30-40%","35-55",0,60,"N","Pass",1896,-87
103535,"BBB","2014B",943,"F","South West Region","A Level or Equivalent","40-50%","0-35",0,120,"N","Pass",381,-165
103904,"DDD","2013B",1145,"M","South Region","HE Qualification","70-80%","0-35",0,60,"N","Pass",1579,-22
104054,"BBB","2013B",1041,"F","South East Region","Lower Than A Level","90-100%","35-55",0,120,"N","Pass",1451,-19
